#Program,Baseline,SS,SH,CFI,Silhouette,Invert,SSFI
cjpeg-rose7-preset,12765,12785,12812,12776,12846,12803,13294
core,137385,139136,137659,137383,139712,139400,140647
linear_alg-mid-100x100-sp,18278,18278,18456,18278,18456,18278,18552
loops-all-mid-10k-sp,35241,35241,36977,35241,36977,35241,35792
nnet_test,222461,222462,225352,222457,225353,222386,227538
parser-125k,9985,10024,9999,9991,10034,10028,10075
radix2-big-64k,17270,17270,17396,17267,17396,17270,17600
sha-test,40725,40808,40922,40691,41006,40921,42607
zip-test,19955,19961,19959,19955,19965,19961,20066
