#Program,Baseline,SS,SH,CFI,Silhouette,Invert,SSFI
cjpeg-rose7-preset,98316,100020,106396,107524,117276,109396,129332
nnet_test,69580,70036,77276,69692,77820,70196,85316
core,51516,51828,53476,51636,53900,51988,56972
linear_alg-mid-100x100-sp,58772,59212,62388,58884,62964,59388,66716
loops-all-mid-10k-sp,99156,100012,109324,99340,110348,100292,121468
parser-125k,57712,58236,59908,57840,60564,58424,63188
radix2-big-64k,58220,58612,61708,58340,62220,58788,65252
sha-test,52428,52700,53900,52540,54292,52852,56164
zip-test,82924,83672,90888,83528,92232,84360,106160
