#Benchmark,code_size
cjpeg-rose7-preset,48714
core,17362
linear_alg-mid-100x100-sp,24136
loops-all-mid-10k-sp,65224
nnet_test,33684
parser-125k,19684
radix2-big-64k,18502
sha-test,17500
zip-test,48224
