#Benchmark,Time
bubblesort,3434
ctl-string,1407
cubic,28647
dijkstra,40618
edn,2688
fasta,16275
fir,16417
frac,8843
huffbench,46335
levenshtein,7980
matmult-int,5968
nbody,124245
ndes,1954
nettle-aes,7051
picojpeg,45695
qrduino,45101
rijndael,78658
sglib-dllist,1334
sglib-listinsertsort,1359
sglib-listsort,1057
sglib-queue,2199
sglib-rbtree,7935
slre,4206
sqrt,56203
st,20048
stb_perlin,3223
trio-sscanf,1358
whetstone,98129
wikisort,162386
