#Benchmark,Time
bubblesort,3436
ctl-string,1430
cubic,28693
dijkstra,40685
edn,2690
fasta,16281
fir,16418
frac,8876
huffbench,46336
levenshtein,9439
matmult-int,5968
nbody,124258
ndes,1972
nettle-aes,7053
picojpeg,47273
qrduino,45115
rijndael,79979
sglib-dllist,1335
sglib-listinsertsort,1360
sglib-listsort,1058
sglib-queue,2201
sglib-rbtree,8661
slre,4359
sqrt,55984
st,20048
stb_perlin,3440
trio-sscanf,1419
whetstone,98161
wikisort,166629
