#Benchmark,Time
bubblesort,2750
ctl-string,1215
cubic,25493
dijkstra,38045
edn,1609
fasta,16265
fir,13344
frac,7696
huffbench,15738
levenshtein,3068
matmult-int,2296
nbody,113358
ndes,1704
nettle-aes,5086
picojpeg,36474
qrduino,37508
rijndael,58299
sglib-dllist,1236
sglib-listinsertsort,1285
sglib-listsort,1044
sglib-queue,928
sglib-rbtree,4318
slre,2229
sqrt,53444
st,17917
stb_perlin,2932
trio-sscanf,734
whetstone,86375
wikisort,133452
