#Benchmark,Time
bubblesort,2756
ctl-string,1419
cubic,28612
dijkstra,40666
edn,2678
fasta,16273
fir,16207
frac,8865
huffbench,46124
levenshtein,9241
matmult-int,5902
nbody,124475
ndes,1964
nettle-aes,7032
picojpeg,44685
qrduino,43574
rijndael,79579
sglib-dllist,1328
sglib-listinsertsort,1360
sglib-listsort,1059
sglib-queue,2138
sglib-rbtree,8535
slre,4317
sqrt,56160
st,20066
stb_perlin,3412
trio-sscanf,1411
whetstone,98106
wikisort,165026
