#Benchmark,Time
bubblesort,2751
ctl-string,1248
cubic,25504
dijkstra,38120
edn,1610
fasta,16267
fir,13568
frac,7698
huffbench,15722
levenshtein,3401
matmult-int,2297
nbody,113181
ndes,1731
nettle-aes,5090
picojpeg,38682
qrduino,37512
rijndael,58061
sglib-dllist,1240
sglib-listinsertsort,1286
sglib-listsort,1045
sglib-queue,929
sglib-rbtree,4897
slre,2424
sqrt,53356
st,17890
stb_perlin,3004
trio-sscanf,776
whetstone,86400
wikisort,134280
