#Benchmark,code_size
bubblesort,2006
ctl-string,1700
cubic,2326
dijkstra,2174
edn,3566
fasta,1506
fir,1012
frac,1614
huffbench,6084
levenshtein,2616
matmult-int,2326
nbody,3942
ndes,5154
nettle-aes,3306
picojpeg,18534
qrduino,19962
rijndael,10798
sglib-dllist,1882
sglib-listinsertsort,1094
sglib-listsort,1530
sglib-queue,2694
sglib-rbtree,1968
slre,4856
sqrt,1114
st,5778
stb_perlin,1710
trio-sscanf,6488
whetstone,3020
wikisort,12710
