#Benchmark,Time
bubblesort,3432
ctl-string,1258
cubic,25550
dijkstra,38155
edn,1620
fasta,16278
fir,13364
frac,7714
huffbench,16999
levenshtein,3599
matmult-int,2388
nbody,112924
ndes,1739
nettle-aes,5106
picojpeg,41104
qrduino,38966
rijndael,59366
sglib-dllist,1248
sglib-listinsertsort,1286
sglib-listsort,1043
sglib-queue,1108
sglib-rbtree,5028
slre,2487
sqrt,53457
st,17899
stb_perlin,3037
trio-sscanf,792
whetstone,86441
wikisort,137502
