#Benchmark,Time
cjpeg-rose7-preset,12902
core,137062
linear_alg-mid-100x100-sp,18454
loops-all-mid-10k-sp,37111
nnet_test,224607
parser-125k,9983
radix2-big-64k,17381
sha-test,40812
zip-test,19954
