#Benchmark,Time
bubblesort,3430
ctl-string,1229
cubic,25530
dijkstra,38074
edn,1619
fasta,16268
fir,13364
frac,7707
huffbench,17000
levenshtein,3298
matmult-int,2387
nbody,112923
ndes,1717
nettle-aes,5104
picojpeg,39424
qrduino,38956
rijndael,59655
sglib-dllist,1247
sglib-listinsertsort,1285
sglib-listsort,1042
sglib-queue,1109
sglib-rbtree,4491
slre,2380
sqrt,53463
st,17898
stb_perlin,2865
trio-sscanf,733
whetstone,86429
wikisort,134164
