#Benchmark,code_size
bubblesort,1612
ctl-string,1644
cubic,2172
dijkstra,1868
edn,3394
fasta,1456
fir,1018
frac,1508
huffbench,5144
levenshtein,2112
matmult-int,2218
nbody,3582
ndes,4518
nettle-aes,3176
picojpeg,16248
qrduino,17512
rijndael,10040
sglib-dllist,1782
sglib-listinsertsort,1094
sglib-listsort,1484
sglib-queue,2152
sglib-rbtree,1878
slre,4632
sqrt,1084
st,5436
stb_perlin,1602
trio-sscanf,6162
whetstone,2806
wikisort,10936
