#Benchmark,code_size
bubblesort,2178
ctl-string,1904
cubic,2498
dijkstra,2368
edn,3716
fasta,1656
fir,1162
frac,1786
huffbench,6234
levenshtein,2536
matmult-int,2498
nbody,4092
ndes,5348
nettle-aes,3504
picojpeg,18914
qrduino,20178
rijndael,10992
sglib-dllist,2032
sglib-listinsertsort,1244
sglib-listsort,1680
sglib-queue,2844
sglib-rbtree,2214
slre,5092
sqrt,1264
st,5928
stb_perlin,1882
trio-sscanf,7190
whetstone,3192
wikisort,13010
