#Benchmark,Time
bubblesort,2757
ctl-string,1414
cubic,28620
dijkstra,40665
edn,2678
fasta,16272
fir,16207
frac,8852
huffbench,46123
levenshtein,7850
matmult-int,5902
nbody,124417
ndes,1953
nettle-aes,7030
picojpeg,44578
qrduino,43572
rijndael,78913
sglib-dllist,1327
sglib-listinsertsort,1360
sglib-listsort,1059
sglib-queue,2138
sglib-rbtree,8516
slre,4290
sqrt,55881
st,20066
stb_perlin,3399
trio-sscanf,1385
whetstone,98085
wikisort,162117
