#Benchmark,code_size
bubblesort,1426
ctl-string,1424
cubic,1986
dijkstra,1658
edn,3232
fasta,1294
fir,856
frac,1322
huffbench,4982
levenshtein,2118
matmult-int,2032
nbody,3420
ndes,4308
nettle-aes,2962
picojpeg,15836
qrduino,17278
rijndael,9830
sglib-dllist,1620
sglib-listinsertsort,932
sglib-listsort,1322
sglib-queue,1990
sglib-rbtree,1616
slre,4378
sqrt,922
st,5274
stb_perlin,1416
trio-sscanf,5438
whetstone,2620
wikisort,10614
