#Benchmark,Time
bubblesort,2752
ctl-string,1244
cubic,25486
dijkstra,38093
edn,1611
fasta,16266
fir,13568
frac,7701
huffbench,15737
levenshtein,3089
matmult-int,2297
nbody,113359
ndes,1727
nettle-aes,5088
picojpeg,38429
qrduino,37510
rijndael,58459
sglib-dllist,1237
sglib-listinsertsort,1285
sglib-listsort,1044
sglib-queue,931
sglib-rbtree,4847
slre,2407
sqrt,53446
st,17918
stb_perlin,2978
trio-sscanf,746
whetstone,86378
wikisort,131993
