#Benchmark,code_size
cjpeg-rose7-preset,57876
core,17512
linear_alg-mid-100x100-sp,24286
loops-all-mid-10k-sp,65446
nnet_test,33834
parser-125k,19834
radix2-big-64k,18652
sha-test,17650
zip-test,48846
