#Benchmark,code_size
bubblesort,1552
ctl-string,1578
cubic,2112
dijkstra,1802
edn,3340
fasta,1402
fir,964
frac,1448
huffbench,5090
levenshtein,2244
matmult-int,2158
nbody,3528
ndes,4452
nettle-aes,3106
picojpeg,16134
qrduino,17440
rijndael,9974
sglib-dllist,1728
sglib-listinsertsort,1040
sglib-listsort,1430
sglib-queue,2098
sglib-rbtree,1790
slre,4560
sqrt,1030
st,5382
stb_perlin,1542
trio-sscanf,5636
whetstone,2746
wikisort,10812
