#Benchmark,Time
cjpeg-rose7-preset,12856
core,136794
linear_alg-mid-100x100-sp,18276
loops-all-mid-10k-sp,35366
nnet_test,221841
parser-125k,9980
radix2-big-64k,17265
sha-test,40765
zip-test,19953
