#Benchmark,Time
bubblesort,4158
ctl-string,1442
cubic,28715
dijkstra,45356
edn,2834
fasta,16287
fir,16979
frac,8945
huffbench,46916
levenshtein,9743
matmult-int,6184
nbody,124708
ndes,2010
nettle-aes,7810
picojpeg,59366
qrduino,46712
rijndael,90382
sglib-dllist,1682
sglib-listinsertsort,1432
sglib-listsort,1304
sglib-queue,2396
sglib-rbtree,9028
slre,4628
sqrt,55993
st,20191
stb_perlin,3312
trio-sscanf,1491
whetstone,98253
wikisort,189121
