#Benchmark,Time
bubblesort,2754
ctl-string,1393
cubic,28628
dijkstra,40594
edn,2677
fasta,16272
fir,16205
frac,8841
huffbench,46123
levenshtein,7814
matmult-int,5900
nbody,124418
ndes,1938
nettle-aes,7027
picojpeg,43003
qrduino,43563
rijndael,78837
sglib-dllist,1326
sglib-listinsertsort,1359
sglib-listsort,1058
sglib-queue,2137
sglib-rbtree,7801
slre,4161
sqrt,55881
st,20028
stb_perlin,3170
trio-sscanf,1337
whetstone,98079
wikisort,160336
