#Benchmark,code_size
bubblesort,2242
ctl-string,2108
cubic,2516
dijkstra,2964
edn,4382
fasta,1740
fir,1214
frac,1866
huffbench,7282
levenshtein,2904
matmult-int,2816
nbody,4082
ndes,5758
nettle-aes,3936
picojpeg,24848
qrduino,23078
rijndael,13416
sglib-dllist,2454
sglib-listinsertsort,1336
sglib-listsort,2022
sglib-queue,4196
sglib-rbtree,2608
slre,5774
sqrt,1216
st,6112
stb_perlin,1768
trio-sscanf,8244
whetstone,3412
wikisort,16858
