#Benchmark,Time
cjpeg-rose7-preset,12867
core,136789
linear_alg-mid-100x100-sp,18276
loops-all-mid-10k-sp,35168
nnet_test,221913
parser-125k,9975
radix2-big-64k,17266
sha-test,40765
zip-test,19953
