#Benchmark,code_size
bubblesort,1584
ctl-string,1612
cubic,2144
dijkstra,1836
edn,3370
fasta,1432
fir,994
frac,1480
huffbench,5120
levenshtein,2084
matmult-int,2190
nbody,3558
ndes,4486
nettle-aes,3144
picojpeg,16184
qrduino,17476
rijndael,10008
sglib-dllist,1758
sglib-listinsertsort,1070
sglib-listsort,1460
sglib-queue,2128
sglib-rbtree,1846
slre,4596
sqrt,1060
st,5412
stb_perlin,1574
trio-sscanf,6118
whetstone,2778
wikisort,10892
