#Benchmark,Time
bubblesort,2754
ctl-string,1393
cubic,28628
dijkstra,40594
edn,2677
fasta,16272
fir,16205
frac,8841
huffbench,46123
levenshtein,7814
matmult-int,5900
nbody,124418
ndes,1935
nettle-aes,7026
picojpeg,42893
qrduino,43576
rijndael,78839
sglib-dllist,1326
sglib-listinsertsort,1359
sglib-listsort,1058
sglib-queue,2137
sglib-rbtree,7801
slre,4161
sqrt,55874
st,20066
stb_perlin,3170
trio-sscanf,1367
whetstone,98076
wikisort,162896
