#Benchmark,code_size
bubblesort,1580
ctl-string,1610
cubic,2140
dijkstra,1834
edn,3364
fasta,1426
fir,988
frac,1476
huffbench,5114
levenshtein,2272
matmult-int,2186
nbody,3552
ndes,4484
nettle-aes,3138
picojpeg,16198
qrduino,17476
rijndael,10006
sglib-dllist,1752
sglib-listinsertsort,1064
sglib-listsort,1454
sglib-queue,2122
sglib-rbtree,1822
slre,4596
sqrt,1054
st,5406
stb_perlin,1570
trio-sscanf,5680
whetstone,2774
wikisort,10856
