#Benchmark,code_size
cjpeg-rose7-preset,57608
core,19690
linear_alg-mid-100x100-sp,28130
loops-all-mid-10k-sp,75744
nnet_test,41734
parser-125k,22294
radix2-big-64k,22320
sha-test,19370
zip-test,56508
